LISTA PRECIOS CULTIVO MAYORISTA al 1_9_2025,,,,,,,
Los precios son más IVA,,,,,,,
DESCRIPCION,MACETA,Precio unitario,CODIGO,"Unid.X
Cajón",Total $ x cajón,OBSERVACIONES,DISPONIBILIDAD
CACTUS,Rígida 5 cuadrada terracota,$950,C R5 T-1,45,$ 42.75,Mix,Todo el año
CACTUS,Rígida cuadrada 5 dorada,$1.05,C R5 D-2,45,$ 47.25,Mix,Todo el año
CACTUS,Rígida 8 cuadrada terracota,$1.20,C R8 T -1,28,$ 33.60,Mix,Todo el año
CACTUS,Rígida 8 cuadrada dorada,$1.50,C R8 D -2,28,$ 41.99,Mix,Todo el año
CACTUS,Rígida 8 cuadrada Gris,$2.32,C R8 G -3,24,$ 55.59,Mix,Todo el año
CACTUS,Rígida 8 cuadrada Blanco,$3.57,C R8 B-4,24,$ 85.67,Mix,Stock Limitado
CACTUS,Rígida 8 cuadrada Azul,$5.72,C R8 A-5,1,$ 5.72,Mix,Stock Limitado
CACTUS,Rígida 8 cuadrada Negra,$8.44,C R8 N-6,1,$ 8.44,Mix,Stock Limitado
CACTUS,Soplada 10 geometricus,$12.14,C S10 Tg,1,$ 12.14,Mix,Stock Limitado
CACTUS,Termoformada 11 negra,$2.42,C T11 N-1,12,$ 29.04,Mix,Todo el año
CACTUS,Termoformada 11 terracota,$4.05,C T11 T-2,12,$ 48.56,Mix,Todo el año
CACTUS,Termoformada 11 gris,$6.01,C T11 G-3,12,$ 72.14,Mix,Stock Limitado
CACTUS,Termoformada 11 blanca,$7.74,C T11 B-4,12,$ 92.93,Mix,Stock Limitado
CACTUS,Terrina cerámica 12,$4.97,C TC12,6,$ 29.80,Mix,Stock Limitado
CACTUS,Termoformada 15/17 negra,$5.19,C T15/17 N-1,5,$ 25.93,Mix,Stock Limitado
CACTUS,Soplada 5LTS negra,$8.57,C 5L-1,1,$ 8.57,consultar variedades,Todo el año
CACTUS,Soplada 5LTS terracota,$16.91,C 5L-2,1,$ 16.91,consultar variedades,Todo el año
CACTUS,10LTS AM.NEGRA,$16.91,C 10 LAN,1,$ 16.91,consultar variedades,Todo el año
CACTUS,10LTS AM.TERRAC.,$31.30,C 10 LAT,1,$ 31.30,consultar variedades,Todo el año
CACTUS,Terrina 45,$85.33,CT45-1,1,$ 85.33,consultar variedades,Stock Limitado
CACTUS,Terrina 45,$106.22,CT45-2,1,$ 106.22,consultar variedades,Stock Limitado
CACTUS,Terrina 45,$125.64,CT45-3,1,$ 125.64,consultar variedades,Stock Limitado
CACTUS,Terrina 45,$264.51,CT45-5,1,$ 264.51,consultar variedades,Stock Limitado
CACTUS,Madres diferentes macetas,$56.32,M1,1,$ 56.32,consultar variedades,Stock Limitado
CACTUS,Madres diferentes macetas,$84.51,M2,1,$ 84.51,consultar variedades,Stock Limitado
CACTUS,Madres diferentes macetas,$95.15,M3,1,$ 95.15,consultar variedades,Stock Limitado
CACTUS,Madres diferentes macetas,$103.84,M4,1,$ 103.84,consultar variedades,Stock Limitado
,,,,,,,
SUCULENTAS,Rígida 5 cuadrada violeta,$800,S R5 V-1,45,$ 36.00,Mix,Todo el año
SUCULENTAS,Rígida 5 cuadrada dorada,$878,S R5 D-2,45,$ 39.51,Mix,Todo el año
SUCULENTAS,Rígida 5 cuadrada gris platino,$834,S R5 G-3,40,$ 33.37,Lithops mix x 1 ud,Todo el año
SUCULENTAS,Rígida 5 cuadrada blanca,$1.62,S R5 B-4,40,$ 64.65,Lithops mix x 3 uds,Todo el año
SUCULENTAS,Rígida 5 cuadrada blanca espec,$7.83,S R5 B-4 ESP-1,1,$ 7.83,Variedad conophytum,Stock Limitado
SUCULENTAS,Rígida 8 cuadrada violeta,$1.00,S R8 V-1,28,$ 28.00,Mix,Todo el año
SUCULENTAS,Rígida 8 cuadrada dorada,$1.45,S R8 D-2,28,$ 40.60,Mix,Todo el año
SUCULENTAS,Rígida 8 cuadrada Gris,$2.12,S R8 G-3,24,$ 50.77,venta por medio Cajón,Stock Limitado
SUCULENTAS,Rígida 8 cuadrada Blanco,$2.96,S R8 B-4,24,$ 70.97,venta por medio Cajón,Stock Limitado
SUCULENTAS,Rígida 8 cuadrada Azul,$4.74,S R8 A-5,1,$ 4.74,consultar variedades,Stock Limitado
SUCULENTAS,Rígida 8 cuadrada Negra,$7.48,S R8 N-6,1,$ 7.48,consultar variedades,Stock Limitado
SUCULENTAS,Termoformada 11 violeta,$2.00,ST11 V-1,12,$ 23.97,Mix,Stock Limitado
SUCULENTAS,Termoformada 11 terracota,$2.69,ST11 T-2,12,$ 32.31,Mix,Stock Limitado
SUCULENTAS,Termoformada 11 gris,$3.49,S T11 G-3,12,$ 41.89,Mix,No disponible
SUCULENTAS,Termoformada 11 blanca,$6.01,S T11 B-4,12,$ 72.15,Mix,No disponible
SUCULENTAS,Terrina cerámica 12,$4.02,S TC12,6,$ 24.13,Mix,Stock Limitado
SUCULENTAS,Termoformada 15/17 negra,$2.81,S T15/17 N-1,5,$ 14.03,Mix,Stock Limitado
SUCULENTAS,Termoformada 15/17 terracota,$4.19,S T15/17 T-2,5,$ 20.96,Mix,Stock Limitado
SUCULENTAS,Termoformada 11 blanca EEl,$4.19,ST11 B EEl,12,$ 50.31,Euphorbia lactea crestada verde,Stock Limitado
SUCULENTAS,Soplada 14,$49.80,SS14Lithops,1,$ 49.80,Colonia lithops,Stock Limitado
AGAVES,3LTS,$13.36,S 3LT,1,$ 13.36,"xylonacantha, isminensis,
ovatifolia y vilmoraniano",Stock Limitado
AGAVES,10 LTS,$21.44,S 10L,1,$ 21.44,xylonacantha y geminiflora,Hasta agotar stock
AGAVES,,,,0,$ 0,consultar variedades y precios,0
,,,,,,,
CACTUS,R8 Injertado,,IR8-1.0-Hmix,,$ 48.27,Mix injertados 1 x cajón,OFERTA 20% DTO
CACTUS,R9 Injertado,$2.73,IR9-1.4-PLe,24,$ 65.52,Pereskiopsis + Lobivia híbrida,Stock Limitado
CACTUS,R9 Injertado,$2.73,IR9-1.5-PR/S,24,$ 65.52,Pereskiopsis + Rebutias/Sulcorrebutias,Stock Limitado
CACTUS,R8 Injertado,$2.73,IR8-1.6-HeNE,24,$ 65.52,Hilocereus +  esféricos,Stock Limitado
CACTUS,R8 Injertado,$2.73,IR8-1.7-HAa,24,$ 65.52,Hilocereus +  Astrophytum asteria,Stock Limitado
CACTUS,R8 Injertado,$2.73,IR8-1.8-PE,24,$ 65.52,Pereskiopsis + Epithelantha de gajo,Stock Limitado
CACTUS,R8 Injertado,$3.41,IR8-2.1-HGm,24,$ 81.72,Hilocereus + G. myhanovicci color,Stock Limitado
CACTUS,R8 Injertado,$3.41,IR8-2.6-Hch,24,$ 81.72,Hilocereus + chilenos,Stock Limitado
SUCULENTAS,R8 Injertado,$3.41,IR8-2.7-SA,24,$ 81.72,Stapelia + Asclepias varias,Stock Limitado
CACTUS,R8 Injertado,$3.41,IR8-2.8-HCsb,24,$ 81.72,Hilocereus + Chamacereus silvestrii blanquesina cv CM,Stock Limitado
CACTUS,R8 Injertado,$4.60,IR8-3.1-PLw,1,$ 4.60,Pereskiopsis + Lophophora willamsii (peyote),Stock Limitado
CACTUS,R9 Injertado,$4.60,IR9-3.6-Tc,1,$ 4.60,Hilocereus + crestados,Stock Limitado
CACTUS,R8 Injertado,$4.60,IR8-3.8-PCl,1,$ 4.60,Pereskiopsis + Copiapoa laui,Stock Limitado
CACTUS,R8 Injertado,$5.64,IR8-4.1-CTg,1,$ 5.64,Cereus + tephrocactus geometricus de gajo,Stock Limitado
CACTUS,R8 Injertado,$5.64,IR8-4.7-Eel,1,$ 5.64,Euphorbia trigona + E. lactea crestada,Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.3-CEch,1,$ 7.01,"Cleistocactus strausii + Echinopsis cv
chocolate crestado",Stock Limitado
CACTUS,R8 Injertado,$7.01,IR8-5.4-HMt/s,1,$ 7.01,Hilocereus + Mammillarias theresae y saboae,Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.9-Her,1,$ 7.01,Hilocereus +Echinocereus riggidissimus rubispinus,Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.11-HPb,1,$ 7.01,Hilocereus + Puna boniae,Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.13-MMi,1,$ 7.01,"Myrtillocactus + Mammillaria
bocasana inermis cv. Fred",Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.14-PTb,1,$ 7.01,Pereskiopsis + Turbinicarpus beguinii,Stock Limitado
CACTUS,R9 Injertado,$7.01,IR9-5.15-Hamr/f,1,$ 7.01,"Hilocereus + Astrophytum
myriostigma híbrido var rokkotsu / fukuryu y hakunn",Stock Limitado
CACTUS,R8 Injertado,$7.01,IR8-5.16-HCr,1,$ 7.01,Hilocereus + Cleistocactus ritteri,Stock Limitado
CACTUS,R8 Injertado,$7.01,IR8-5.17-HM,1,$ 7.01,Hilocereus + Mediolobivia,Stock Limitado
CACTUS,R8 Injertado,$7.01,IR8-5.18-HRe,1,$ 7.01,Hilocereus + Rebutia especial,Stock Limitado
CACTUS,R9 Injertado,$10.00,IR9-6.5-HMl,1,$ 10.00,Hilocereus + Mammillaria luetyi,Stock Limitado
CACTUS,R9 Injertado,$10.00,IR9-6.6-HAll,1,$ 10.00,Hilocereus + Astrophytum lotus land,Stock Limitado
CACTUS,R8 Injertado,$10.00,IR8-6.7-MBl,1,$ 10.00,Myrtillocactus + Blosfeldia liliputana,Stock Limitado
CACTUS,R8 Injertado,$10.00,IR8-6.8-HEmc,1,$ 10.00,Hilocereus +  epithelantha micromeris crestada,Stock Limitado
CACTUS,R9 Injertado,$22.23,IR9-9.1-Tcer,1,$ 22.23,Trichocereus Pachanoi +  Copiapoa esmeraldana rubi,Stock Limitado
CACTUS,T11 Injertado,$3.94,IT11-1.1-TRr,1,$ 3.94,Trichocereus pachanoi + Rebutia rauchii flor fucsia,Stock Limitado
SUCULENTAS,T11 Injertado,$8.03,IT11-3.1-EEl,1,$ 8.03,Euphorbia trigona + E. lactea crestada,Stock Limitado
CACTUS,T11 Injertado,$8.03,IT11-3.4-Tc,1,$ 8.03,Trichocereus Pachanoi +  crestados,Stock Limitado
CACTUS,T11 Injertado,$10.00,IT11-4.1-TEch,1,$ 10.00,Trichocereus Pachanoi +  Echinopsis cv chocolate crestado,Stock Limitado
CACTUS,T11 Injertado,$11.34,IT11-4.2-MMc,1,$ 11.34,Myrtillocactus + Myrtillocactus geometrizans cristata,Stock Limitado
CACTUS,T11 Injertado,$30.98,IT11-5.1-HTbm,1,$ 30.98,Hilocereus + T. bridgesii var. mosntruoso (penis cactus),Stock Limitado
CACTUS,T11 Injertado,$15.93,IT11-5.2-TOd,1,$ 15.93,Trichocereus pachanoi + Oreocereus doelzianus,Stock Limitado
CACTUS,T11 Injertado,$39.42,IT11-M1-Tec,1,$ 39.42,Trichocereus Pachanoi + Eulichnia castanea,Stock Limitado
CACTUS,3 LITROS injertado,$15.93,I3L-1.1-RMc,1,$ 15.93,Roseocereus + Myrtillocactus geometrizans cristata,Stock Limitado
SUCULENTAS,5 LITROS injertado,$22.23,I5L-1.1-EEl,1,$ 22.23,Euphorbia ingens + E. lactea crestada,Stock Limitado
,,,,,,,
PIEDRA FLUO,x 10 kg pack individual x 1 kg,$2.05,PF10,10,$ 20.50,,Todo el año
PIEDRA MATE,x 10 kg pack individual x 1 kg,$1.46,PM10,10,$ 14.56,,Todo el año
PIEDRA MATE,X 20KG GRANEL,$1.09,P M20,20,$ 21.84,"Salmón, violeta, verde, amarillo,",Todo el año
